order_id,product_id,product_name,quantity,order_date,unit_price,customer_id,city,category
O0000001,P0018,Product 0018,1,2025-08-29,24.13,10070,Pune,Home Decor
O0000002,P0042,Product 0042,4,2025-09-02,7.89,11231,Jaipur,Accessories
O0000003,P0040,Product 0040,5,2025-07-25,7.4,10242,Delhi,Kitchen
O0000004,P0119,Product 0119,3,2025-06-14,44.94,11125,Kolkata,Gifts
O0000005,P0119,Product 0119,5,2025-07-11,44.94,10932,Pune,Gifts
O0000005,P0048,Product 0048,1,2025-07-11,12.89,10932,Pune,Seasonal
O0000005,P0039,Product 0039,3,2025-07-11,5.9,10932,Pune,Gifts
O0000006,P0067,Product 0067,1,2025-11-07,26.7,10432,Jaipur,Seasonal
O0000006,P0014,Product 0014,1,2025-11-07,6.73,10432,Jaipur,Accessories
O0000006,P0017,Product 0017,2,2025-11-07,16.44,10432,Jaipur,Kitchen
O0000007,P0020,Product 0020,4,2025-10-17,16.63,10636,Kolkata,Stationery
O0000008,P0030,Product 0030,1,2025-01-09,15.01,10177,Chennai,Stationery
O0000008,P0063,Product 0063,1,2025-01-09,7.27,10177,Chennai,Stationery
O0000009,P0070,Product 0070,3,2025-09-11,6.47,11481,Pune,Stationery
O0000009,P0037,Product 0037,4,2025-09-11,4.57,11481,Pune,Seasonal
O0000009,P0032,Product 0032,1,2025-09-11,20.34,11481,Pune,Gifts
O0000010,P0093,Product 0093,2,2025-11-01,13.32,10358,Delhi,Seasonal
O0000011,P0067,Product 0067,3,2025-09-29,26.7,10464,Pune,Seasonal
O0000012,P0065,Product 0065,5,2025-07-01,17.36,10755,Mumbai,Stationery
O0000012,P0112,Product 0112,4,2025-07-01,14.46,10755,Mumbai,Accessories
O0000012,P0020,Product 0020,2,2025-07-01,16.63,10755,Mumbai,Stationery
O0000013,P0023,Product 0023,1,2025-05-03,20.49,11009,Pune,Gifts
O0000013,P0061,Product 0061,1,2025-05-03,45.66,11009,Pune,Seasonal
O0000013,P0046,Product 0046,4,2025-05-03,24.93,11009,Pune,Seasonal
O0000014,P0026,Product 0026,4,2025-09-03,11.39,10758,Kolkata,Kitchen
O0000014,P0074,Product 0074,3,2025-09-03,5.68,10758,Kolkata,Home Decor
O0000014,P0030,Product 0030,1,2025-09-03,15.01,10758,Kolkata,Stationery
O0000015,P0024,Product 0024,4,2025-08-31,9.36,10758,Kolkata,Seasonal
O0000016,P0089,Product 0089,2,2025-05-17,9.69,10874,Mumbai,Accessories
O0000016,P0012,Product 0012,5,2025-05-17,13.01,10874,Mumbai,Seasonal
O0000017,P0094,Product 0094,1,2025-05-29,7.21,11287,Mumbai,Stationery
O0000017,P0055,Product 0055,5,2025-05-29,9.82,11287,Mumbai,Stationery
O0000017,P0081,Product 0081,4,2025-05-29,60.2,11287,Mumbai,Seasonal
O0000018,P0051,Product 0051,3,2025-05-15,26.8,10593,Chennai,Accessories
O0000018,P0038,Product 0038,4,2025-05-15,5.4,10593,Chennai,Accessories
O0000019,P0046,Product 0046,3,2025-01-17,24.93,11249,Bengaluru,Seasonal
O0000019,P0100,Product 0100,2,2025-01-17,29.6,11249,Bengaluru,Home Decor
O0000019,P0011,Product 0011,2,2025-01-17,27.13,11249,Bengaluru,Kitchen
O0000020,P0113,Product 0113,5,2025-01-12,9.41,11181,Mumbai,Kitchen
O0000020,P0004,Product 0004,3,2025-01-12,11.77,11181,Mumbai,Stationery
O0000021,P0072,Product 0072,5,2025-01-31,7.78,11442,Chennai,Gifts
O0000021,P0061,Product 0061,4,2025-01-31,45.66,11442,Chennai,Seasonal
O0000022,P0106,Product 0106,4,2025-06-04,8.37,11370,Delhi,Accessories
O0000022,P0093,Product 0093,3,2025-06-04,13.32,11370,Delhi,Seasonal
O0000022,P0066,Product 0066,4,2025-06-04,38.53,11370,Delhi,Gifts
O0000023,P0084,Product 0084,3,2025-07-06,7.44,11198,Pune,Accessories
O0000024,P0074,Product 0074,4,2025-05-30,5.68,10371,Delhi,Home Decor
O0000024,P0120,Product 0120,1,2025-05-30,16.64,10371,Delhi,Home Decor
O0000024,P0063,Product 0063,3,2025-05-30,7.27,10371,Delhi,Stationery
O0000025,P0020,Product 0020,5,2025-12-15,16.63,11162,Bengaluru,Stationery
